ID,AGE(Y),AgeNum,SEX,BB/IS,CONDITION,SUBCONDITION,VIDORDER,PRETEST,CTRL_1_A,CTRL_1_B,CTRL_1_C,CTRL_1_D,CTRL_1__E,CTRL_2_A,CTRL_2_B,CTRL_2_C,CTRL_2_D,CTRL_2__E,MAIN_1_A,MAIN_1_B,MAIN_1_C,MAIN_2_A,MAIN_2_B,MAIN_2__C
1,5,66,1,1,1,2,1,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
2,6,77,1,0,0,0,0,1,1,1,0,0,NaN,1,1,1,1,NaN,1,0,1,1,0,0
3,6,81,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,2,2,1,1,1
4,6,83,1,1,1,1,1,1,1,1,1,0,NaN,2,1,1,0,NaN,0,2,2,0,1,1
5,6,78,1,1,1,1,0,1,2,0,1,1,NaN,0,1,0,0,NaN,1,2,2,1,0,1
6,6,76,1,0,0,3,0,1,1,0,0,1,NaN,1,1,0,0,NaN,1,2,2,1,2,2
7,5,67,1,0,0,0,0,1,0,0,0,1,NaN,1,1,1,1,NaN,0,1,1,1,0,0
8,5,66,1,0,0,0,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,0,0,1,1,0
9,6,74,0,1,1,0,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
10,6,80,0,0,0,0,0,0,1,1,1,1,NaN,1,1,1,1,NaN,1,0,0,1,0,0
11,6,81,1,0,0,0,0,1,0,0,0,1,NaN,0,0,0,0,NaN,1,0,0,1,0,0
12,6,76,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,0,1,1,1
13,6,78,0,1,1,0,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
14,6,83,0,1,1,0,1,1,1,1,0,0,NaN,2,0,1,1,NaN,0,2,1,0,1,2
15,6,78,0,0,0,1,0,0,1,1,1,0,NaN,1,1,1,1,NaN,1,0,0,1,1,1
16,5,69,0,0,0,1,1,1,0,0,0,1,NaN,0,0,0,0,NaN,1,0,0,1,0,0
17,5,62,1,1,0,0,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
18,6,82,1,1,1,0,1,1,0,1,1,0,NaN,1,1,0,0,NaN,0,1,2,0,1,1
19,5,70,1,1,1,1,0,0,1,1,0,0,NaN,1,0,1,1,NaN,1,2,0,1,0,0
20,5,62,0,0,0,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
21,5,60,1,0,0,0,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
22,5,71,1,0,0,2,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
23,5,68,0,0,0,0,1,1,1,0,1,1,NaN,1,1,0,0,NaN,1,0,1,1,1,0
24,6,76,1,0,0,3,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
25,6,72,1,0,0,2,1,1,1,1,1,1,NaN,0,1,1,1,NaN,1,1,1,1,1,1
26,5,64,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
27,6,72,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
28,5,64,0,1,1,0,0,1,1,2,1,0,NaN,1,1,0,0,NaN,0,0,1,0,1,0
29,5,64,0,1,1,0,0,0,0,0,0,1,NaN,0,0,0,0,NaN,0,2,2,0,0,1
30,6,72,1,0,0,3,0,1,1,0,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
31,5,62,1,0,0,3,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
32,6,75,0,0,0,0,1,1,1,0,1,0,NaN,1,1,1,1,NaN,1,1,0,1,1,0
33,5,67,1,1,1,3,0,1,1,1,1,0,NaN,1,1,1,1,NaN,1,1,1,1,1,1
34,6,73,1,0,0,3,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
35,5,63,0,1,1,0,1,1,1,1,1,0,NaN,1,1,1,1,NaN,0,0,1,0,0,1
36,5,61,1,0,0,3,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,2,2,1,2,2
37,5,69,1,0,0,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
38,6,81,0,1,1,1,1,1,0,0,1,0,NaN,0,0,1,0,NaN,0,0,1,0,0,1
39,6,75,1,0,0,2,1,1,0,0,1,1,NaN,1,0,1,1,NaN,1,0,0,1,1,1
40,5,61,1,0,0,2,1,1,1,1,1,1,NaN,1,1,0,0,NaN,1,0,1,1,1,1
41,5,71,0,0,0,3,1,0,1,1,1,1,NaN,0,1,1,1,NaN,1,0,0,1,0,0
42,6,82,1,0,0,2,0,0,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,0,0
43,6,82,0,0,0,2,0,1,1,1,0,1,NaN,1,1,0,1,NaN,1,0,1,1,0,1
44,5,62,0,1,1,0,1,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
45,5,69,0,1,1,1,1,1,1,1,1,0,NaN,2,1,1,1,NaN,0,1,1,0,1,1
46,5,63,0,1,1,1,1,1,1,0,1,0,NaN,1,1,0,1,NaN,0,0,1,0,0,0
47,5,71,1,0,0,3,0,1,0,1,1,1,NaN,0,1,1,1,NaN,1,2,2,1,0,1
48,5,63,0,1,1,1,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
49,6,81,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,0,1
50,5,63,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
51,6,72,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
52,5,60,1,1,1,2,0,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,1,1,0
53,6,83,1,1,1,2,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
54,6,77,0,1,1,2,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
55,6,75,0,1,1,3,0,1,1,0,1,0,NaN,0,1,1,0,NaN,0,1,0,0,1,0
56,6,80,1,1,1,3,1,1,1,1,1,0,NaN,0,0,1,0,NaN,0,1,1,0,1,1
57,6,83,0,1,1,3,0,1,1,1,1,0,NaN,1,1,1,0,N/A,0,1,1,0,1,1
58,5,62,0,1,1,3,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
59,5,60,1,1,1,3,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
60,5,66,0,1,1,3,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
61,5,65,0,1,1,2,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
62,6,73,0,0,0,1,0,1,0,0,1,1,NaN,0,0,1,1,NaN,1,0,1,1,0,1
63,6,79,0,1,0,3,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
64,5,63,0,0,0,3,0,1,1,1,1,1,NaN,1,1,1,0,NaN,1,0,1,1,1,1
